feature,correlation_with_class,abs_correlation,p_value
setpoint_raw-global_longitude,-0.4420648712706843,0.4420648712706843,0.0
setpoint_raw-global_altitude,0.29761795837136323,0.29761795837136323,0.0
throttle_altitude_ratio,0.280779314455016,0.280779314455016,0.0
setpoint_raw-global_latitude,0.16087224445710924,0.16087224445710924,8.469727832122336e-203
setpoint_raw-target_global_longitude,-0.15084673006250637,0.15084673006250637,2.8019114070280417e-178
global_position-global_longitude,-0.13848622404537522,0.13848622404537522,2.6061318368056934e-150
vfr_hud_altitude,0.1353845577629907,0.1353845577629907,1.109754401951462e-143
setpoint_raw-target_global_altitude,0.13482692371882565,0.13482692371882565,1.6618414306627782e-142
global_position-global_altitude,0.1261915934654641,0.1261915934654641,6.068440272569339e-125
setpoint_raw-target_global_latitude,0.11484982056870105,0.11484982056870105,1.0880838651991324e-103
global_position-raw-satellites_data,0.10741537415420818,0.10741537415420818,7.225031340236545e-91
global_position-local_pose.pose.position.z,0.10453417957300021,0.10453417957300021,3.917867550871795e-86
global_position-global_latitude,0.0996558357772791,0.0996558357772791,2.0446666591066747e-78
imu-data_orientation.w,-0.0944630393085936,0.0944630393085936,1.3025928956169619e-70
vfr_hud_airspeed,0.08399290440063806,0.08399290440063806,3.694176794585141e-56
battery_percentage,0.08057476063692243,0.08057476063692243,8.240837490094756e-52
battery_current,-0.08046527613811201,0.08046527613811201,1.1278551698656563e-51
vfr_hud_groundspeed,0.06781816668162001,0.06781816668162001,3.5102990393538847e-37
global_position-local_pose.pose.orientation.z,0.0629675989619496,0.0629675989619496,2.8105115162115355e-32
imu-data_orientation.z,0.06231293180210033,0.06231293180210033,1.2102275234177983e-31
global_position-local_pose.pose.orientation.x,0.05765045962492091,0.05765045962492091,2.561105984021206e-27
imu-data_orientation.x,0.05699156962409144,0.05699156962409144,9.836115534236631e-27
state_system_status,-0.035131482383086596,0.035131482383086596,4.268178104032284e-11
rc-out_channels_0,0.030189038891445752,0.030189038891445752,1.4594570486158624e-08
motion_activity_level,0.030015213233995974,0.030015213233995974,1.7646342414078566e-08
gyro_magnitude,0.030015213233995974,0.030015213233995974,1.7646342414078566e-08
global_position-local_pose.pose.orientation.y,-0.026441494562194558,0.026441494562194558,6.955127260670943e-07
imu-data_orientation.y,-0.02634403238886364,0.02634403238886364,7.641240889205928e-07
global_position-local_twist.twist.linear.y,0.025557288634090174,0.025557288634090174,1.613757017997269e-06
global_position-local_twist.twist.linear.x,-0.021610023201959507,0.021610023201959507,5.000724716715224e-05
rc-out_channels_1,0.021600862032747165,0.021600862032747165,5.037648358105646e-05
global_position-local_twist.twist.linear.z,0.018477387887576496,0.018477387887576496,0.0005251737867204131
vfr_hud_climb,-0.018215337313407548,0.018215337313407548,0.0006299265007078534
rc_output_mean,0.01750737992013466,0.01750737992013466,0.0010179772114265594
imu-data_angular_velocity.y,-0.0171084865256562,0.0171084865256562,0.0013243907855340705
rc_output_std,0.01490822312287237,0.01490822312287237,0.005147065877223011
rc-out_channels_2,0.013508428636481874,0.013508428636481874,0.011245648310478407
imu-data_angular_velocity.z,-0.009968153680588293,0.009968153680588293,0.06140471868570079
vfr_hud_heading,-0.009408899270821303,0.009408899270821303,0.07745988060440927
vfr_hud_throttle,-0.009287845980224231,0.009287845980224231,0.0813508517068736
battery_voltage_rolling_std,0.007805806016396346,0.007805806016396346,0.14298058336932387
state_guided,-0.006920735600084414,0.006920735600084414,0.19404993508882928
quaternion_magnitude,-0.0064651315721975635,0.0064651315721975635,0.22505556987363387
imu-data_angular_velocity.x,0.005380510003108399,0.005380510003108399,0.3126583627569214
global_position-local_pose.pose.position.x,-0.0050648122651086895,0.0050648122651086895,0.3418999963385201
global_position-local_pose.pose.position.y,0.0050648122651086895,0.0050648122651086895,0.3418999963385201
rc-out_channels_3,0.004715439061530911,0.004715439061530911,0.3762338830613103
state_armed,0.0031078738770822846,0.0031078738770822846,0.5597628747315324
battery_voltage,-0.0003373071399702908,0.0003373071399702908,0.9495310665602267
battery_temperature,,,
rc-out_channels_4,,,
setpoint_raw-target_global_yaw,,,
state_connected,,,
state_manual_input,,,
battery_drain_rate,,,
battery_change_rate,,,
